"ID","Location","Date of observation","Lon","Lat","Fire type","Size, ha","A_s, kBq m-2","Temp","Precipitation","W_velocity","W_dir","Observation point","A_v, Bq m-3 * 10-5"
"1","Vetka","3/19/2015","52.565798","31.161071","srf","1.2","555","8.1","0","1","NW","Gomel","20"
"2","Vetka","4/9/2015","52.567319","31.205069","srf","1.9","555","12.5","0","6","SE","Gomel","48"
"3","Vetka","4/23/2015","52.6155577","31.36726","srf","2.9","555","17.6","0","6","NE","Gomel","21"
"4","Vetka","4/24/2015","52.643437","31.533588","srf","4.9","1480","19.7","0","4","SE","Gomel","13"
"5","Vetka","4/25/2015","52.653434","31.520499","srf","4.7","1480","18","0","2","NE","Gomel","27"
"6","Vetka","4/25/2015","52.652518","31.514005","srf","2.6","1480","18","0","2","NE","Gomel","27"
"7","Vetka","6/13/2015","52.491976","31.177843","srf","0.01","185","28.8","0","5","NE","Gomel","23"
"8","Vetka","6/25/2015","52.588405","31.144278","srf","0.8","555","27.6","0","3","S","Gomel","22"
"9","Vetka","7/6/2015","52.617047","31.384256","srf","0.8","1480","30.2","0","2","S","Gomel","31"
"10","Vetka","7/8/2015","52.617047","31.384256","srf","3.1","1480","30.8","0","4","NE","Gomel","23"
"11","Vetka","7/8/2015","52.610479","31.392291","srf","3.7","1480","30.8","0","4","NE","Gomel","23"
"12","Vetka","7/9/2015","52.610479","31.392291","grnd","0.3","1480","24.5","0","4","SE","Gomel","15"
"13","Vetka","8/6/2015","52.589072","31.151422","srf","0.8","555","30.6","0","1","S","Gomel","24"
"14","Vetka","8/20/2015","52.529559","31.198110","srf","0.2","555","22.3","0","1","NW","Gomel","20"
"15","Vetka","5/17/2017","52.651971","31.473794","srf","2.6","555","16","0.1","6","SE","Gomel","35"
"16","Vetka","6/20/2017","52.701673","31.062553","srf","0.3","555","27.4","0","4","SE","Gomel","21"
"17","Vetka","6/22/2017","52.707559","31.063562","srf","2.5","1480","20.1","0","4","SE","Gomel","19"
"18","Vetka","4/6/2019","52.813431","31.534134","srf","1.5","555","13.1","0","1","E","Gomel","19"
"19","Vetka","4/22/2019","52.745408","31.385911","srf","0.8","555","18.4","0","1","SE","Gomel","27"
"20","Vetka","5/19/2019","52.919788","31.265217","srf","4.3","185","25","0","2","SE","Gomel","21"
"21","Vetka","5/20/2019","52.660184","31.496192","srf","0.4","1480","25.5","0","4","E","Gomel","28"
"22","Vetka","5/31/2019","52.608568","31.185592","srf","0.01","555","23.1","0","3","NW","Gomel","17"
"23","Vetka","6/3/2019","52.567319","31.205069","srf","0.02","555","25.4","0","2","NW","Gomel","22"
"24","Vetka","6/12/2019","52.787994","30.976413","srf","0.01","1480","32.2","0","1","N","Gomel","19"
"25","Narovlya","3/26/2015","51.736535","29.489734","srf","2","555","13.8","0","4","SE","Mozyr","44"
"26","Narovlya","5/24/2015","51.779733","29.460201","srf","1.3","555","21.4","0","3","N","Mozyr","29"
"27","Narovlya","5/31/2015","51.745015","29.574748","srf","1.5","1480","22.6","5","4","NW","Mozyr","23"
"28","Narovlya","6/5/2015","51.673868","29.254328","srf","0.03","555","21.4","0","2","SE","Mozyr","15"
"29","Narovlya","6/6/2015","51.675525","29.263511","srf","1.67","555","25.1","0","2","NW","Mozyr","32"
"30","Narovlya","6/7/2015","51.734887","29.409930","srf","3.2","1480","28.7","0","4","SW","Mozyr","32"
"31","Narovlya","6/7/2015","51.822922","29.381622","srf","4.7","555","28.7","0","4","SW","Mozyr","32"
"32","Narovlya","6/26/2015","51.710960","29.225895","srf","0.3","555","18.3","5","2","N","Mozyr","30"
"33","Narovlya","6/26/2015","51.627544","29.196876","srf","0.3","555","18.3","5","2","N","Mozyr","30"
"34","Narovlya","6/28/2015","51.645887","29.205828","srf","4.4","555","19.9","0","4","N","Mozyr","23"
"35","Narovlya","6/30/2015","51.638244","29.203627","srf","13.9","555","25.6","0","1","N","Mozyr","19"
"36","Narovlya","7/5/2015","51.766622","29.337432","srf","4.7","185","32.9","0","2","W","Mozyr","23"
"37","Narovlya","7/7/2015","51.768853","29.363316","srf","0.2","555","27.1","0","3","W","Mozyr","21"
"38","Narovlya","7/9/2015","51.738548","29.554094","srf","0.5","1480","24.5","0","4","NW","Mozyr","15"
"39","Narovlya","7/26/2015","51.424628","29.381427","srf","4.9","185","31.8","0","3","SE","Mozyr","33"
"40","Narovlya","8/8/2015","51.713379","29.235534","srf","0.2","555","33.5","0","2","S","Mozyr","74"
"41","Narovlya","8/8/2015","51.737121","29.307031","srf","0.01","555","33.5","0","2","S","Mozyr","74"
"42","Narovlya","8/10/2015","51.661509","29.361526","srf","0.07","185","32.7","0","1","W","Mozyr","41"
"43","Narovlya","8/13/2015","51.538459","29.407114","srf","4.5","1480","30.8","0","2","S","Mozyr","42"
"44","Narovlya","8/15/2015","51.623834","29.223734","srf","0.01","185","26","0","2","NW","Mozyr","20"
"45","Narovlya","8/15/2015","51.617247","29.334188","srf","0.02","555","26","0","2","NW","Mozyr","20"
"46","Narovlya","8/17/2015","51.623834","29.223734","srf","0.02","185","18.8","0","2","E","Mozyr","20"
"47","Narovlya","9/2/2015","51.772016","29.383603","srf","0.8","555","33.2","0","2","W","Mozyr","40"
"48","Narovlya","9/14/2015","51.682840","29.232851","srf","0.05","555","18.6","0","2","SE","Mozyr","23"
"49","Narovlya","9/19/2015","51.710960","29.225895","srf","4.2","555","20","7","2","NW","Mozyr","26"
"50","Narovlya","7/3/2016","51.703393","29.227317","srf","0.9","null","30.1","0","4","SE","Mozyr","16"
"51","Narovlya","7/7/2016","51.702369","29.369093","srf","0.06","null","16","1","2","W","Mozyr","14"
"52","Narovlya","7/13/2016","51.403503","29.481912","srf","0.01","null","32.4","0","8","S","Mozyr","24"
"53","Narovlya","7/17/2016","51.403503","29.481912","srf","2.7","null","32.1","0","4","E","Mozyr","3"
"54","Narovlya","7/24/2016","51.783236","29.456358","srf","0.3","null","27","0","4","N","Mozyr","27"
"55","Narovlya","6/1/2017","51.710960","29.225895","srf","0.1","555","15.7","0","5","W","Mozyr","48"
"56","Narovlya","4/17/2018","51.817718","29.430738","srf","0.2","null","18.4","0","3","S","Mozyr","58"
"57","Narovlya","5/27/2018","51.433732","29.411361","srf","0.01","null","23.4","0","1","S","Mozyr","19"
"58","Narovlya","6/4/2018","51.783239","29.496817","srf","0.01","null","28","0","4","NW","Mozyr","38"
"59","Narovlya","6/5/2018","51.8147282","29.48226","srf","0.01","null","19.8","0","5","NW","Mozyr","29"
"60","Narovlya","4/13/2019","51.432244","29.317318","srf","0.9","null","11.4","0","4","N","Mozyr","17"
"61","Narovlya","4/25/2019","51.483386","29.334254","crwn","358.5","185","22.8","0","3","S","Mozyr","35"
"62","Narovlya","4/25/2019","51.863408","29.307415","srf","1.1","null","22.8","0","3","S","Mozyr","35"
"63","Narovlya","6/8/2019","51.573035","29.350598","srf","0.3","null","27.9","0.3","2","SE","Mozyr","27"
"64","Narovlya","6/14/2019","51.518612","29.394925","srf","0.01","null","28.4","0","2","NW","Mozyr","31"
"65","Narovlya","6/15/2019","51.654415","29.382959","srf","0.01","null","29.6","0","4","W","Mozyr","20"
"66","Narovlya","6/15/2019","51.814741","29.476827","srf","0.01","null","29.6","0","4","W","Mozyr","20"
"67","Narovlya","6/19/2019","51.640219","29.208720","srf","0.01","null","29.1","0","1","NE","Mozyr","20"
"68","Narovlya","7/1/2019","51.583113","29.340899","srf","0.9","null","34.8","0","3","SW","Mozyr","28"
"69","Narovlya","8/21/2019","51.492727","29.268193","srf","0.2","null","31.1","0","2","SE","Mozyr","21"
"70","Narovlya","8/26/2019","51.436523","29.476603","srf","0.01","null","25.7","0","2","S","Mozyr","11"
"71","Chechersk","5/20/2015","52.973454","30.893149","srf","1.5","555","26.2","0","4","SE","Gomel","42"
"72","Chechersk","5/21/2015","52.929078","30.755357","srf","1.5","185","28.6","0","5","S","Gomel","41"
"73","Chechersk","5/21/2015","52.929412","30.769577","srf","2","185","28.6","0","5","S","Gomel","41"
"74","Chechersk","5/27/2015","52.972591","30.902799","srf","2.5","555","28.4","0","3","SE","Gomel","33"
"75","Chechersk","8/2/2015","53.244147","30.837295","srf","2","555","25.7","0","2","S","Gomel","17"
"76","Chechersk","8/3/2015","53.247587","30.829115","srf","15","555","29.5","0","2","SW","Gomel","20"
"77","Chechersk","8/24/2015","53.086436","30.760030","srf","0.03","185","26.9","0","1","E","Gomel","27"
"78","Chechersk","4/9/2016","53.259507","30.958024","srf","0.7","185","18.9","0","3","SE","Gomel","47"
"79","Chechersk","6/6/2016","52.865836","30.803573","srf","0.1","null","15.7","0.2","5","N","Gomel","23"
"80","Chechersk","8/20/2017","53.003818","31.285266","srf","0.5","null","31.2","0","4","SE","Gomel","47"
"81","Chechersk","4/30/2018","53.045004","30.920909","srf","2.2","null","25.5","0","4","S","Gomel","38"
