id,place_id,dt_occur,square,type
1,1,"2000-05-18 00:00:00",0.01,srf
2,2,"2000-05-18 00:00:00",0.01,srf
3,3,"2001-04-12 00:00:00",0.04,srf
4,4,"2001-07-21 00:00:00",0.05,srf
5,5,"2002-04-12 00:00:00",0.22,srf
6,6,"2002-04-15 00:00:00",2.40,srf
7,7,"2002-05-03 00:00:00",0.20,srf
8,8,"2002-05-07 00:00:00",0.20,srf
9,9,"2002-05-09 00:00:00",0.03,srf
10,10,"2002-05-09 00:00:00",0.05,srf
11,11,"2002-05-15 00:00:00",0.50,srf
12,12,"2002-07-04 00:00:00",0.05,srf
13,13,"2002-07-06 00:00:00",0.01,srf
14,14,"2002-07-09 00:00:00",13.90,srf
15,15,"2002-07-12 00:00:00",0.25,srf
16,16,"2002-07-15 00:00:00",0.15,srf
17,17,"2002-07-23 00:00:00",0.01,srf
18,18,"2002-08-13 00:00:00",17.40,srf
19,19,"2002-08-13 00:00:00",0.80,srf
20,20,"2002-08-21 00:00:00",8.50,srf
21,21,"2002-08-22 00:00:00",8.90,srf
22,22,"2003-04-21 00:00:00",1.00,srf
23,23,"2003-04-21 00:00:00",0.30,srf
24,24,"2003-05-30 00:00:00",1.00,srf
25,25,"2003-05-31 00:00:00",0.30,srf
26,26,"2003-06-10 00:00:00",0.20,srf
27,27,"2003-06-15 00:00:00",0.10,srf
28,28,"2003-07-22 00:00:00",2.80,srf
29,29,"2003-07-24 00:00:00",0.20,srf
30,30,"2004-09-06 00:00:00",0.05,srf
31,31,"2005-05-07 00:00:00",0.80,srf
32,32,"2005-09-29 00:00:00",0.02,srf
33,33,"2005-09-30 00:00:00",0.40,srf
34,34,"2005-10-01 00:00:00",3.10,srf
35,35,"2006-05-28 00:00:00",0.03,srf
36,36,"2006-04-27 00:00:00",0.10,srf
37,37,"2006-04-28 00:00:00",0.50,srf
38,38,"2006-04-28 00:00:00",1.20,srf
39,39,"2006-05-04 00:00:00",3.20,srf
40,40,"2006-05-04 00:00:00",1.30,srf
41,41,"2006-05-28 00:00:00",2.80,srf
42,42,"2007-03-22 00:00:00",0.32,srf
43,43,"2007-04-01 00:00:00",3.70,srf
44,44,"2007-04-04 00:00:00",0.20,srf
45,45,"2007-04-19 00:00:00",0.01,srf
46,46,"2007-04-30 00:00:00",0.01,srf
47,47,"2007-06-04 00:00:00",0.10,srf
48,48,"2007-06-15 00:00:00",1.80,srf
49,49,"2007-06-16 00:00:00",2.50,srf
50,50,"2008-06-19 00:00:00",0.90,srf
51,51,"2008-07-16 00:00:00",0.80,srf
52,52,"2008-07-26 00:00:00",2.90,srf
53,53,"2008-07-29 00:00:00",0.05,srf
54,54,"2008-08-15 00:00:00",0.60,srf
55,55,"2008-08-16 00:00:00",20.00,crn
56,56,"2008-08-16 00:00:00",26.40,crn
57,57,"2008-08-17 00:00:00",65.40,crn
58,58,"2009-04-20 00:00:00",0.13,srf
59,59,"2009-04-27 00:00:00",0.71,srf
60,60,"2009-05-03 00:00:00",1.20,srf
61,61,"2009-05-07 00:00:00",0.90,srf
62,62,"2009-05-10 00:00:00",0.05,srf
63,63,"2010-07-09 00:00:00",0.10,srf
64,64,"2010-07-27 00:00:00",2.30,srf
65,65,"2011-06-07 00:00:00",0.03,srf
66,66,"2011-09-19 00:00:00",0.40,srf
67,67,"2012-05-25 00:00:00",0.30,srf
68,68,"2012-07-29 00:00:00",0.08,srf
69,69,"2012-08-08 00:00:00",0.30,grnd
70,70,"2013-05-06 00:00:00",0.15,srf
71,71,"2013-08-16 00:00:00",0.01,srf
