id,coord_lat,coord_lon,region,frst_name,qrt_num,frstr_name,srf_act,obs_pnt_dist,obs_pnt_dir
1,52.791755,31.341981,Gomel,Vetka,45,Stolbun,185,44.0,SE
2,52.781889,31.351176,Gomel,Vetka,50,Stolbun,185,35.0,SE
3,52.790339,31.552408,Gomel,Vetka,57,Stolbun,185,51.0,SE
4,52.744194,31.440350,Gomel,Vetka,89,Stolbun,185,41.0,SE
5,52.591707,31.239902,Gomel,Vetka,491,Vetka,555,24.0,NE
6,52.640726,31.464485,Gomel,Vetka,259,Stolbun,555,40.0,NE
7,52.505015,31.217256,Gomel,Vetka,620,Vetka,185,27.0,N
8,52.645650,31.217048,Gomel,Vetka,118,Vetka,555,34.0,NE
9,52.748766,31.500967,Gomel,Vetka,82,Stolbun,185,39.0,SE
10,52.738732,31.419005,Gomel,Vetka,88,Stolbun,185,39.5,SE
11,52.790339,31.552408,Gomel,Vetka,57,Stolbun,185,51.0,SE
12,52.748766,31.500967,Gomel,Vetka,82,Stolbun,185,39.0,SE
13,52.668990,31.241526,Gomel,Vetka,82,Stolbun,185,32.0,SE
14,52.580291,31.412447,Gomel,Vetka,555,Vetka,185,34.0,E
15,52.816749,31.353219,Gomel,Vetka,34,Stolbun,74,33.5,SE
16,52.641112,31.429854,Gomel,Vetka,238,Vetka,555,24.0,NE
17,52.655620,31.482241,Gomel,Vetka,252,Stolbun,555,42.0,NE
18,52.578176,31.479834,Gomel,Vetka,576,Vetka,185,21.0,E
19,52.565972,31.394268,Gomel,Vetka,569,Vetka,555,17.0,E
20,52.578176,31.479834,Gomel,Vetka,576,Vetka,185,21.0,E
21,52.578176,31.479834,Gomel,Vetka,576,Vetka,185,21.0,E
22,52.514456,31.196789,Gomel,Vetka,610,Vetka,74,13.0,E
23,52.597068,31.229193,Gomel,Vetka,425,Vetka,185,30.0,NE
24,52.726478,31.389322,Gomel,Vetka,109,Stolbun,74,42.0,SE
25,52.726478,31.389322,Gomel,Vetka,109,Stolbun,74,42.0,SE
26,52.652220,31.446345,Gomel,Vetka,248,Stolbun,555,40.0,NE
27,52.565972,31.394268,Gomel,Vetka,569,Vetka,555,17.0,E
28,52.699487,31.470023,Gomel,Vetka,144,Stolbun,185,44.0,NE
29,52.690019,31.093210,Gomel,Vetka,135,Svetilovichi,555,30.0,N
30,52.494489,31.109146,Gomel,Vetka,639,Vetka,185,13.0,E
31,52.512322,31.195394,Gomel,Vetka,617,Vetka,185,14.0,E
32,52.512322,31.195394,Gomel,Vetka,617,Vetka,185,14.0,E
33,52.617141,31.463033,Gomel,Vetka,449,Vetka,185,41.0,NE
34,52.617141,31.463033,Gomel,Vetka,449,Vetka,185,41.0,NE
35,52.523147,31.214550,Gomel,Vetka,602,Vetka,185,16.5,E
36,52.964469,31.347753,Gomel,Vetka,2,Velikonemkov,74,64.0,N
37,52.597068,31.229193,Gomel,Vetka,425,Vetka,185,30.0,NE
38,52.958341,31.351288,Gomel,Vetka,2,Velikonemkov,74,63.7,NE
39,52.798449,31.364233,Gomel,Vetka,42,Stolbun,74,48.0,NE
40,52.772320,31.414920,Gomel,Vetka,63,Stolbun,74,47.0,NE
41,52.499006,31.137238,Gomel,Vetka,642,Vetka,185,12.5,E
42,52.494489,31.109146,Gomel,Vetka,639,Vetka,185,11.5,E
43,52.808958,31.460987,Gomel,Vetka,43,Stolbun,166.5,52.7,NE
44,52.558256,31.380271,Gomel,Vetka,568,Vetka,185,17.0,E
45,52.905103,31.296727,Gomel,Vetka,22,Velikonemkov,74,56.0,NE
46,52.740682,31.423380,Gomel,Vetka,88,Stolbun,74,44.8,NE
47,52.525243,31.194551,Gomel,Vetka,599,Vetka,185,15.5,E
48,52.686626,31.177304,Gomel,Vetka,142,Svetilovichi,185,31.0,NE
49,52.686626,31.177304,Gomel,Vetka,142,Svetilovichi,185,31.0,NE
50,52.681727,31.403836,Gomel,Vetka,187,Stolbun,555,39.0,NE
51,52.570544,31.449115,Gomel,Vetka,583,Vetka,555,35.0,E
52,52.512322,31.195394,Gomel,Vetka,617,Vetka,185,16.6,E
53,52.524591,31.271031,Gomel,Vetka,608,Vetka,185,21.0,E
54,52.525310,31.270624,Gomel,Vetka,608,Vetka,185,21.5,E
55,52.568275,31.396003,Gomel,Vetka,569,Vetka,555,31.4,NE
56,52.577224,31.444234,Gomel,Vetka,571,Vetka,555,35.0,NE
57,52.544477,31.413461,Gomel,Vetka,587,Vetka,208.3,31.4,E
58,52.635165,31.454359,Gomel,Vetka,267,Stolbun,555,38.5,NE
59,52.521503,31.257538,Gomel,Vetka,606,Vetka,185,20.0,E
60,52.823638,31.086807,Gomel,Vetka,61,Velikonemkov,185,43.0,N
61,52.593778,31.235094,Gomel,Vetka,465,Vetka,555,24.6,NE
62,52.505372,31.186009,Gomel,Vetka,632,Vetka,74,15.2,NE
63,52.617379,31.300736,Gomel,Vetka,327,Vetka,555,29.3,NE
64,52.629495,31.388029,Gomel,Vetka,301,Vetka,555,34.5,NE
65,52.512322,31.195394,Gomel,Vetka,617,Vetka,555,16.5,NE
66,52.731608,31.389635,Gomel,Vetka,101,Stolbun,185,43.2,NE
67,52.491976,31.177843,Gomel,Vetka,645,Vetka,185,14.3,NE
68,52.598134,31.205144,Gomel,Vetka,421,Vetka,1480,23.4,NE
69,52.876715,31.358508,Gomel,Vetka,10,Stolbun,555,56.2,NE
70,52.893027,31.394292,Gomel,Vetka,13,Stolbun,185,58.5,NE
71,52.565798,31.161071,Gomel,Vetka,656,Vetka,185,13.9,E
