id,dt_obs,as_hp,av,av_bgrnd,obs_pnt_name
1,"2000-05-18 00:00:00",NULL,NULL,NULL,Gomel
2,"2000-05-18 00:00:00",NULL,NULL,NULL,Gomel
3,"2000-04-12 00:00:00",0.00,NULL,NULL,Gomel
4,"2000-07-21 00:00:00",0.80,NULL,NULL,Gomel
5,"2002-04-12 00:00:00",NULL,NULL,NULL,Gomel
6,"2002-04-15 00:00:00",NULL,NULL,NULL,Gomel
7,"2002-05-03 00:00:00",NULL,NULL,NULL,Gomel
8,"2002-05-07 00:00:00",NULL,NULL,NULL,Gomel
9,"2002-05-09 00:00:00",NULL,NULL,NULL,Gomel
10,"2002-05-09 00:00:00",NULL,NULL,NULL,Gomel
11,"2002-05-15 00:00:00",NULL,NULL,NULL,Gomel
12,"2002-07-04 00:00:00",NULL,NULL,NULL,Gomel
13,"2002-07-06 00:00:00",NULL,NULL,NULL,Gomel
14,"2002-07-09 00:00:00",NULL,NULL,NULL,Gomel
15,"2002-07-12 00:00:00",NULL,NULL,NULL,Gomel
16,"2002-07-15 00:00:00",NULL,NULL,NULL,Gomel
17,"2002-07-23 00:00:00",NULL,NULL,NULL,Gomel
18,"2002-08-13 00:00:00",NULL,NULL,NULL,Gomel
19,"2002-08-13 00:00:00",NULL,NULL,NULL,Gomel
20,"2002-08-21 00:00:00",NULL,NULL,NULL,Gomel
21,"2002-08-22 00:00:00",NULL,NULL,NULL,Gomel
22,"2003-04-21 00:00:00",0.60,19.0,15.0,Gomel
23,"2003-04-21 00:00:00",0.60,19.0,15.0,Gomel
24,"2003-05-30 00:00:00",1.50,10.0,15.0,Gomel
25,"2003-05-31 00:00:00",NULL,NULL,15.0,Gomel
26,"2003-06-10 00:00:00",0.50,17.0,15.0,Gomel
27,"2003-06-15 00:00:00",0.00,5.0,15.0,Gomel
28,"2003-07-22 00:00:00",0.20,14.0,15.0,Gomel
29,"2003-07-24 00:00:00",0.60,17.0,15.0,Gomel
30,"2004-09-06 00:00:00",0.40,10.0,11.0,Gomel
31,"2005-05-07 00:00:00",NULL,NULL,NULL,Gomel
32,"2005-09-29 00:00:00",NULL,NULL,NULL,Gomel
33,"2005-09-30 00:00:00",NULL,NULL,NULL,Gomel
34,"2005-10-01 00:00:00",NULL,NULL,NULL,Gomel
35,"2006-05-28 00:00:00",1.00,9.0,15.9,Gomel
36,"2006-04-27 00:00:00",0.00,20.0,15.9,Gomel
37,"2006-04-28 00:00:00",3.00,26.0,15.9,Gomel
38,"2006-04-28 00:00:00",3.00,26.0,15.9,Gomel
39,"2006-05-04 00:00:00",1.00,29.0,15.9,Gomel
40,"2006-05-04 00:00:00",1.00,29.0,15.9,Gomel
41,"2006-05-28 00:00:00",1.00,9.0,15.9,Gomel
42,"2007-03-22 00:00:00",0.00,17.0,10.2,Gomel
43,"2007-04-01 00:00:00",0.00,20.0,10.2,Gomel
44,"2007-04-04 00:00:00",1.00,13.0,10.2,Gomel
45,"2007-04-19 00:00:00",0.00,9.0,10.2,Gomel
46,"2007-04-30 00:00:00",1.00,9.0,10.2,Gomel
47,"2007-06-04 00:00:00",1.00,9.0,10.2,Gomel
48,"2007-06-15 00:00:00",0.00,12.0,10.2,Gomel
49,"2007-06-16 00:00:00",2.00,21.0,10.2,Gomel
50,"2008-06-19 00:00:00",0.00,9.0,10.3,Gomel
51,"2008-07-16 00:00:00",0.50,18.0,10.3,Gomel
52,"2008-07-26 00:00:00",0.00,8.0,10.3,Gomel
53,"2008-07-29 00:00:00",0.00,8.0,10.3,Gomel
54,"2008-08-15 00:00:00",1.60,25.0,10.3,Gomel
55,"2008-08-16 00:00:00",0.40,36.0,10.3,Gomel
56,"2008-08-16 00:00:00",0.40,36.0,10.3,Gomel
57,"2008-08-17 00:00:00",0.80,47.0,10.3,Gomel
58,"2009-04-20 00:00:00",0.90,20.0,15.1,Gomel
59,"2009-04-27 00:00:00",0.00,11.0,15.1,Gomel
60,"2009-05-03 00:00:00",0.50,23.0,15.1,Gomel
61,"2009-05-07 00:00:00",0.30,8.0,15.1,Gomel
62,"2009-05-10 00:00:00",0.30,18.0,15.1,Gomel
63,"2010-07-09 00:00:00",0.00,8.0,12.1,Gomel
64,"2010-07-27 00:00:00",0.60,5.0,12.1,Gomel
65,"2011-06-07 00:00:00",NULL,NULL,NULL,Gomel
66,"2011-09-19 00:00:00",0.00,10.0,11.0,Gomel
67,"2012-05-25 00:00:00",0.00,28.0,19.9,Gomel
68,"2012-07-29 00:00:00",0.60,25.0,19.9,Gomel
69,"2012-08-08 00:00:00",0.40,4.0,19.9,Gomel
70,"2013-05-06 00:00:00",0.00,12.0,14.1,Gomel
71,"2013-08-16 00:00:00",0.50,22.0,14.1,Gomel
